Indicator Code,Data Element Code,Name,Definition
EE1.1,EE1.1(1),(1) Number of households  having access to electricity   ,This is the total number of households that have access to electricity
EE1.1,EE1.1(2),(2) Total number of households in the municipality,"This is the total number of households (of all types - formal, informal, and traditional) within the municipal area of jurisdiction"
EE1.1,,,
EE1.1,,,
EE1.1,,,
EE1.1,,,
EE1.1,,,
EE1.11,EE1.11(1),(1) Residential supply points energised and commissioned by the municipality,The number of dwellings that are newly  connected to mains electricity supply by the municipality.
EE1.11,,,
EE1.11,,,
EE1.11,,,
EE1.11,,,
EE1.11,,,
EE1.11,,,
EE1.12,EE1.12(1),(1) The number of residential supply points energised and commissioned by Eskom within muncipal jurisdiction,The number of dwellings that are newly connected to the mains electricity supply  by Eskom within municipal jurisidiction
EE1.12,,,
EE1.12,,,
EE1.12,,,
EE1.12,,,
EE1.12,,,
EE1.12,,,
EE2.1,EE2.1(1),(1) Number of households receiving Free Basic Electricity,Total number of households in the municipality that receive FBE
EE2.1,EE2.1(2),(2) Number of households with access to electricity in the municipality,This is the total number of households with an electiricty connection within the municipality
EE2.1,,,
EE2.1,,,
EE2.1,,,
EE2.1,,,
EE2.1,,,
EE2.11,EE2.11(1),(1) Amount of FBE provided (in MWh),Amount of municipal electricity sales (MWh) that are funded by FBE.
EE2.11,EE2.11(2),(2)  Amount of residential electricity sales (in MWh),Amount of municipal electricity sales (MWh) for the residential customer category
EE2.11,,,
EE2.11,,,
EE2.11,,,
EE2.11,,,
EE2.11,,,
EE2.2,EE2.2(1),(1) Number of low income households that spend more than 10% of their income on electricity,"For defined threshold of low income per household, this will be the number of households that spend more than 10% of their income on electricity"
EE2.2,EE2.2(2),(2) Total number of low income households,This will be the number of households that fit the definition of a low income household
EE2.2,,,
EE2.2,,,
EE2.2,,,
EE2.2,,,
EE2.2,,,
EE3.1,EE3.1(1),(1) Time to restore supply for every customer impacted by a sustained electricity supply disruption incident x from the time it has been logged,The time it takes to restore electricity supply to every customer who suffered a sustained disruption in their supply
EE3.1,EE3.1(2),(2) Total number of electricity customers affected by the incident x,The number of customers who faced a sustained interruption in their supply during any incident
EE3.1,EE3.1(3),(3) Total number of electricty customers,Total number of municipal customers that are registered on municipal database for receiving electricity services from the municipality
EE3.1,,,
EE3.1,,,
EE3.1,,,
EE3.1,,,
EE3.11,EE3.11(1),(1) number of unplanned outages restored within x hours,Sum of all occurrences of unplanned outages that were restored within x hours
EE3.11,EE3.11(2),(2) Total number of unplanned outages,total number of unplanned outages logged on the system
EE3.11,,,
EE3.11,,,
EE3.11,,,
EE3.11,,,
EE3.11,,,
EE3.2,EE3.2(1),(1) time to restore supply for every customer impacted by an electricity supply disruption incident x from the time it has been logged,The time it takes to restore electricity supply to every customer who suffered a disruption in their supply
EE3.2,EE3.2(2),(2) Total number of electricity customers affected by the incident x,The number of customers who faced a interruption in their supply during an incident x
EE3.2,EE3.2(3),(3) Total number of electricity customers affected by any supply interruption incident,The number of customers who faced a interruption in their supply during any incident
EE3.2,,,
EE3.2,,,
EE3.2,,,
EE3.2,,,
EE3.21,EE3.21(1),(1) Actual number of maintenance hours for planned/preventative maintenance,Number of hours recorded for planned maintenance
EE3.21,EE3.21(2),(2) Budgeted number of maintenance hours for planned/preventative maintenance,Number of hours budgeted for planned maintenance
EE3.21,,,
EE3.21,,,
EE3.21,,,
EE3.21,,,
EE3.21,,,
EE3.3,EE3.3(1),(1) Total number of electricity customers affected by the sustained incident x,The number of customers who faced a sustained interruption in their supply during an incident x
EE3.3,EE3.3(2),(2) Total number of electricty customers,Total number of municipal customers that are registered on municipal database for receiving electricity services from the municipality
EE3.3,,,
EE3.3,,,
EE3.3,,,
EE3.3,,,
EE3.3,,,
EE3.4,EE3.4(1),(1) Total number of sustained supply interruption incidents that affected customers,The number of times sustained supply interruptions took place in the municipality that had an impact on customers
EE3.4,EE3.4(2),(2) Total number of distinct electricity customers interrupted,The number of customers who faced one or more sustained interruptions in their supply during an incident or incidents 
EE3.4,,,
EE3.4,,,
EE3.4,,,
EE3.4,,,
EE3.4,,,
EE4.1,EE4.1(1),(1) Amount of renewable energy capacity available from IPPs,The amount of renewable energy capacity the municipality sourced directly from an IPP
EE4.1,EE4.1(2),(2)  Amount of renewable energy capacity available from municipal own generation,The amount of renewable energy capacity available to the municipality through its own generation plants
EE4.1,EE4.1(3),(3) Total installed capacity of embedded generators,The total installed capacity as per municipal records or aerial inspections of customers with private embedded generation facilities on municipal distribution networks or Eskom distribution networks within municipal jurisidiction
EE4.1,EE4.1(4),(4) Total energy capacity available from Eskom,The total capacity available from Eskom supply to the municipality
EE4.1,EE4.1(4),(4) Total energy capacity available from Eskom,The total capacity available from Eskom supply to the municipality
EE4.1,,,
EE4.1,,,
EE4.11,EE4.11(1),(1) Sum of (Capacity available from a renewable IPP),Capacity available through renewable energy IPPs metro has current and active PPA with
EE4.11,,,
EE4.11,,,
EE4.11,,,
EE4.11,,,
EE4.11,,,
EE4.11,,,
EE4.12,EE4.12(1),(1) Sum of all SSEG installation capacities among municipal customer base ,The total capacity of the SSEG installations in the municipality.
EE4.12,,,
EE4.12,,,
EE4.12,,,
EE4.12,,,
EE4.12,,,
EE4.12,,,
EE4.2,EE4.2(1),(1) Total Eskom Sales direct to municipal customers,The total amount of electricity sold directly by Eskom to municipal customers
EE4.2,EE4.2(2),(2) Total Eskom non-technical losses apportioned to their direct municipal customers,The total amount of non-technical losses Eskom incurs in servicing municipal customers directly
EE4.2,EE4.2(3),(3) Total municipal sales to end customers,The total amount of electricity sold by the municipality
EE4.2,EE4.2(4),(4) Total non-technical losses of the municipality,The total non-technical losses incurred by the municipality
EE4.2,EE4.2(4),(4) Total non-technical losses of the municipality,The total non-technical losses incurred by the municipality
EE4.2,EE4.2(5),(5) Total population of the municipality,The total number of people residing within the municipal area. 
EE4.2,,,
EE4.3,EE4.3(1), (1) Total liquid fuels sales for road transport ,amount of liquid fuels consumed by the municipality in total for road transport
EE4.3,EE4.3(2),(2) Total population of the municipality,The total number of people residing within the municipal area. 
EE4.3,,,
EE4.3,,,
EE4.3,,,
EE4.3,,,
EE4.3,,,
EE4.4,EE4.4(1),(1) Electricity Purchases,Total electricity sourced by the municipality
EE4.4,EE4.4(2),(2) Electricity Sales,Electricity sold by the municipality
EE4.4,,,
EE4.4,,,
EE4.4,,,
EE4.4,,,
EE4.4,,,
ENV1.1,ENV1.1(1),(1) Annual average SO2 (in ppb),The annual averages of sulphur dioxide SO2 (one of the two most prevalent air pollutants in the country) are averaged over the area stations' (located within the metro) data in order to derive the metro annual average. 
ENV1.1,ENV1.1(2),(2) Annual average PM10 (in  µg/m3),The annual averages of PM10 (one of the two most prevalent air pollutants in the country) are averaged over the area stations' (located within the metro) data in order to derive the metro annual average. 
ENV1.1,ENV1.1(3),(3) NAAQ standard for SO2,Annual average standard as determined by the NAAQS. Over a period of 1 year the average concentration of SO2 may not exceed the specified ambient concentration of 19ppb (or  50 µg/m3).
ENV1.1,ENV1.1(4),(4) NAAQ Standard for PM10,Annual average standard as determined by the NAAQS. Over a period of 1 year the average concentration of particulate matter (PM10) may not exceed the specified ambient concentration of 40 µg/m3 (as of 1 Jan 2015).
ENV1.1,ENV1.1(4),(4) NAAQ Standard for PM10,Annual average standard as determined by the NAAQS. Over a period of 1 year the average concentration of particulate matter (PM10) may not exceed the specified ambient concentration of 40 µg/m3 (as of 1 Jan 2015).
ENV1.1,,,
ENV1.1,,,
ENV1.11,ENV1.11(1),(1) Total number of Route 1 AELs (Joint with EIA) submitted following issue of EA within the year in review.,"The total number of AELs processed jointly with an EIA in the year under review (1 year time-lag to account for long processing time). In  terms  of  section  40(3)  of  the  AQA,  an  Environmental Authorisation is issued, then the AELA has 60 days from the date of issue of the Environmental Authorisation to make a decision in respect of the AEL application."
ENV1.11,ENV1.11(2),(2) Total number of Route 1 AELs processed within 60 days of an EA being issued,"The number of AEL decisions reached within 60 days of an EA being issued. (For context, the total number of days for a complete EIA-process should be completed within 224 days (approx 7.5 months))."
ENV1.11,ENV1.11(3),(3) Total number of Route 2 AEL applications submitted for renewal,The total number of applications submitted for renewed AELs
ENV1.11,ENV1.11(4),(4) Total number of renewal AELs processed within recommended timeframes,The number of applications for renewed AELs processed within 60 days of all required information being submitted. 
ENV1.11,ENV1.11(4),(4) Total number of renewal AELs processed within recommended timeframes,The number of applications for renewed AELs processed within 60 days of all required information being submitted. 
ENV1.11,ENV1.11(5),(5) Total number of Route 2 AEL applications submitted for amendment,The total number of AELs submitted for amendment
ENV1.11,ENV1.11(6),(6) Total number of AEL amendments processed within the recommended timeframe,The number of applications for amended AELS processed within 10 days.
ENV1.12,ENV1.12(1),(1) Number of fully operational AQ monitoring stations ,"The number of government-owned monitoring stations which provided either continous or at minimum quarterly information to SAAQIS, and for which there are no significant data gaps over the reporting period. A significant data gap is defined as greater than 20% of missing data for the period in question."
ENV1.12,ENV1.12(2),(2) Total number of government owned (all spheres) monitoring stations within metro area,The total number of government owned monitoring stations located within the metropolitan boundary.
ENV1.12,,,
ENV1.12,,,
ENV1.12,,,
ENV1.12,,,
ENV1.12,,,
ENV1.13,ENV1.13(1),(1) Number of AEL licenses issued by the muncipality and for which information has been entered into the NAEIS,"The number of AEL licenses issued by the muncipality for which information is available on the NAEIS. This is necessary as the AEL function is a concurrent one, and successful national reporting on emissions requires the support of all AEL Authorities"
ENV1.13,ENV1.13(2),(2) Number of AELs issued by the municipality,The total number of AELs issued by the municipality. This will not include those AELs issued by other AEL authorities
ENV1.13,,,
ENV1.13,,,
ENV1.13,,,
ENV1.13,,,
ENV1.13,,,
ENV1.2,ENV1.2(1),(1) Average daily concentrations of PM2.5,"The mean 24-hour concentrations of PM2.5 over the period of a year, based on observations from continuous monitoring stations reporting to SAAQIS."
ENV1.2,ENV1.2(2),(2) Standard for the concentration of PM2.5 over a 24 hour averaging period , The maximum guideline standard for PM2.5 concentrations averaaged over a 24 hour period.  
ENV1.2,ENV1.2(3),(3) Count of the number of days where the 24-hour mean > guideline of 40 µg/m3,Number of days (per municipal financial year) where the levels of PM2.5 exceed the national standard.
ENV1.2,,,
ENV1.2,,,
ENV1.2,,,
ENV1.2,,,
ENV1.3,ENV1.3(1),(1) Number of households experiencing noise pollution,"The number of households that report ""Excessive noise/noise pollution"" as an environmental problem experienced in the community."
ENV1.3,ENV1.3(2),(2) Total number of households in the municipality,This is the total number of households within the municipal area of jurisdiction
ENV1.3,,,
ENV1.3,,,
ENV1.3,,,
ENV1.3,,,
ENV1.3,,,
ENV2.1,ENV2.1(1),(1) Tonnes of municipal solid waste disposed of in sanitary/licensed landfills ,Annual tonnes of municipal solid waste disposed of in sanitary/licensed landfills 
ENV2.1,ENV2.1(2),(2)Total population of the municipality,Estimated population of the municipality in the year
ENV2.1,,,
ENV2.1,,,
ENV2.1,,,
ENV2.1,,,
ENV2.1,,,
ENV2.2,ENV2.2(1),(1) Tonnes of muncipal waste accepted at recycling or material recovery centres,Total municipal waste diverted from city landfill facilities through city waste diversion activities
ENV2.2,ENV2.2(2),(2)Total population of the municipality,Estimated population of the municipality in the year
ENV2.2,,,
ENV2.2,,,
ENV2.2,,,
ENV2.2,,,
ENV2.2,,,
ENV2.3,ENV2.3(1),(1) Total tonnage of municipal solid waste collected,"The total amount of municipal waste (expressed in tonnes) collected on behalf of muncipalities. Municpal waste refers to waste collected by or on behalf of municipalities. It includes household, commercial, bulky, garden and open space cleaning waste, but excludes wastewater, builders or hazardous waste."
ENV2.3,ENV2.3(2),(2)Total population of the municipality,The total number of people residing within the municipal area. 
ENV2.3,,,
ENV2.3,,,
ENV2.3,,,
ENV2.3,,,
ENV2.3,,,
ENV3.1,ENV3.1(1),(1) Number of households who have their refuse removed at least once a week. ,"Basic refuse removal is based on the definition provided in the Back to Basics framework. This is aligned with the number of households who have their refuse removed at least once a week, as defined by the StatsSA General Household Survey."
ENV3.1,ENV3.1(2),(2) Total number of households in the municipality,"This is the total number of households (of all types - formal, informal, and traditional) within the municipal area of jurisdiction"
ENV3.1,,,
ENV3.1,,,
ENV3.1,,,
ENV3.1,,,
ENV3.1,,,
ENV3.11,ENV3.11(1),(1) The number of recognised informal settlements receiving basic waste services,The number of recognised informal settlements within the metropolitan area which are receiving integrated refuse collection and cleaning services
ENV3.11,ENV3.11(2),(2) The total number of recognised informal settlements,Settlements which have been recognised by municipal authorities as informal.
ENV3.11,,,
ENV3.11,,,
ENV3.11,,,
ENV3.11,,,
ENV3.11,,,
ENV3.2,ENV3.2(1),(1) Number of complaints received for non-collection,The total number of complaints received for non-collection for scheduled waste collection services
ENV3.2,ENV3.2(2),(2) Number of refuse consumer units serviced at the end of the municipal financial year,The total number of refuse consumer units serviced at the end of the muncipal financial year
ENV3.2,,,
ENV3.2,,,
ENV3.2,,,
ENV3.2,,,
ENV3.2,,,
ENV4.1,ENV4.1(1),(1) Map of local vegetation types,"Vegetation types are spatial units that are likely to share broadly similar ecological characteristics and functioning. This map is used as a surrogate for a range of biodiversity features. It should cover the entire area that is being assessed and show the historical extent of each vegetation type, including areas where natural habitat has subsequently been modified or lost."
ENV4.1,ENV4.1(2),(2) Biodiversity targets for each vegetation type,"Biodiversity targets are quantitative measures used both to identify conservation priorities (through planning) as well as to evaluate the success or impact of conservation actions (through monitoring). Biodiversity targets refer to the amount of biodiversity that should be kept in a natural or near-natural state in order to meet the goals of representation and persistence. Deciding how much biodiversity is needed to meet conservation goals is not simply a technical step, but is fundamental to many aspects of assessment and prioritisation. Biodiversity targets should be quantitative and based on the best available science to ensure that they are defensible, but more importantly, to provide assurance that by achieving the targets, the desired conservation outcomes of representation and persistence will likewise be achieved."
ENV4.1,ENV4.1(3),(3) Map of ecological condition,"A map of ecological condition shows the current condition of the landscape or seascape. It is useful to categorise ecological condition into a few categories based on the degree of modification from natural. (1)Natural or near-natural areas are considered to be in good ecological condition, (2)semi-natural or moderately modified areas to be in fair ecological condition, and (3)severely or irreversibly modified areas to be in poor ecological condition."
ENV4.1,ENV4.1(4),(4) Proportion of each vegetation type that is still in good ecological condition,"This requires mapping of the ecological condition of each parcel, which will require capturing the muncipal assessment of land parcels using the City's GIS system."
ENV4.1,ENV4.1(4),(4) Proportion of each vegetation type that is still in good ecological condition,"This requires mapping of the ecological condition of each parcel, which will require capturing the muncipal assessment of land parcels using the City's GIS system."
ENV4.1,,,
ENV4.1,,,
ENV4.11,ENV4.11(1),(1) Total area of biodiversity priority areas,"A change in the stock of all ""biodiversity priority areas"" in the municpality which is capable of supporting ecological processes. As defined by SANBI 2016, this category includes the following categories: protected areas, critically endangered and endangered ecosystems, CBAs, ESA, FEPAs, strategic water source areas, flagship free-flowing riveres, priority estuaries, focus areas for land-based protected area expansion. Most notably it includes land ear-marked for development but which is not yet transformed."
ENV4.11,ENV4.11(2),(2) Total municipal area,"The total area falling within the boundaries of the municipality, expressed in ha"
ENV4.11,,,
ENV4.11,,,
ENV4.11,,,
ENV4.11,,,
ENV4.11,,,
ENV4.2,ENV4.2(1),(1) Mapped and classified vegetation types,"Vegetation types are spatial units that are likely to share broadly similar ecological characteristics and functioning. This map is used as a surrogate for a range of biodiversity features. It should cover the entire area that is being assessed and show the historical extent of each vegetation type, including areas where natural habitat has subsequently been modified or lost."
ENV4.2,ENV4.2(2),(2) Biodiversity targets for each vegetation type,"Biodiversity targets are quantitative measures used both to identify conservation priorities (through planning) as well as to evaluate the success or impact of conservation actions (through monitoring). Biodiversity targets refer to the amount of biodiversity that should be kept in a natural or near-natural state in order to meet the goals of representation and persistence. Deciding how much biodiversity is needed to meet conservation goals is not simply a technical step, but is fundamental to many aspects of assessment and prioritisation. Biodiversity targets should be quantitative and based on the best available science to ensure that they are defensible, but more importantly, to provide assurance that by achieving the targets, the desired conservation outcomes of
representation and persistence will likewise be achieved."
ENV4.2,ENV4.2(3),(3) Map of protected areas,"Protected areas are areas of land or sea that are formally protected by legal or other effective means, and managed mainly for biodiversity conservation. The map of protected areas shows the location and boundaries of existing protected areas."
ENV4.2,ENV4.2(4),(4) Proportion of each vegetation type included in the protected areas,The proportion of each type of vegetation type that is protected
ENV4.2,ENV4.2(4),(4) Proportion of each vegetation type included in the protected areas,The proportion of each type of vegetation type that is protected
ENV4.2,,,
ENV4.2,,,
ENV4.21,ENV4.21(1),(1) Area of priority biodiversity area which is protected,"Total area identified as a priority biodiversity area which is protected through some mechanism, which may include stewardship agreements, conventional protected areas, & biodiversity agreements as defined in the SANBI 2016 Lexicon of Biodiversity Planning"
ENV4.21,ENV4.21(2),(2) Total area identified as a priority biodiversity area ,"Total area identified as a priority biodiversity area within the muncipal SEA & SDF. As defined by SANBI 2016, this category includes the following categories: protected areas, critically endangered and endangered ecosystems, CBAs, ESA, FEPAs, strategic water source areas, flagship free-flowing riveres, priority estuaries, focus areas for land-based protected area expansion. Most notably it includes land ear-marked for development but which is not yet transformed."
ENV4.21,ENV4.21(3),(2) Total area identified as a priority biodiversity area ,"Total area identified as a priority biodiversity area within the muncipal SEA & SDF. As defined by SANBI 2016, this category includes the following categories: protected areas, critically endangered and endangered ecosystems, CBAs, ESA, FEPAs, strategic water source areas, flagship free-flowing riveres, priority estuaries, focus areas for land-based protected area expansion. Most notably it includes land ear-marked for development but which is not yet transformed."
ENV4.21,,,
ENV4.21,,,
ENV4.21,,,
ENV4.21,,,
ENV4.3,ENV4.3(1),(1) Wetland Condition Index,Refers to the overall index level rating for wetland conditions within the municipality.
ENV4.3,,,
ENV4.3,,,
ENV4.3,,,
ENV4.3,,,
ENV4.3,,,
ENV4.3,,,
ENV5.1,ENV5.1(1),"(1) Number of water samples classified as ""sufficient""","The total number of water samples which met or exceeded the threshold for ""sufficient or fair"" water quality. This is defined as meeting the following 3 criteria, (1) having at or below an 8.5% GI illness risk; (2) at or below am Enterococci count of  185 per 100ml; and (3) an E coli count of not more than 500 per 100ml. All 3 criteria have to be met."
ENV5.1,ENV5.1(2),(2) Total number of recreational coastal water quality samples taken annually,The total number of recreational coastal water quality samples taken throughout the muncipal jurisdiction over the course of a reporting year.
ENV5.1,,,
ENV5.1,,,
ENV5.1,,,
ENV5.1,,,
ENV5.1,,,
ENV6.1,ENV6.1(1), (1) Total greenhouse gases in tonnes,The total weight of greenhouse gas emitted in the year under assessment measured in tonnes
ENV6.1,ENV6.1(2),(2)Total population of the municipality,Estimated population of the municipality in the year
ENV6.1,,,
ENV6.1,,,
ENV6.1,,,
ENV6.1,,,
ENV6.1,,,
HS1.1,HS1.1(1),(1) Number of households that live in formal dwellings,"Refers to the number of self-identified 'households' residing in formal dwelling, defined in the StatsSA General Household survey as a structure built according to approved plans, i.e. house on a separate stand, flat or apartment, townhouse, room in backyard, rooms or flatlet elsewhere. Contrasted with informal dwelling and traditional dwelling."
HS1.1,HS1.1(2),(2) Total number of households in the municipality,"This is the total number of households (of all types - formal, informal, and traditional) within the municipal area of jurisdiction"
HS1.1,,,
HS1.1,,,
HS1.1,,,
HS1.1,,,
HS1.1,,,
HS1.11,HS1.11(1),(1) Number of subsidised housing units completed by the metro.,"The number of all serviced, subsidised housing units (in terms of minimum levels of service) completed by the metro within the municipal financial year. Excludes provincial housing projects."
HS1.11,,,
HS1.11,,,
HS1.11,,,
HS1.11,,,
HS1.11,,,
HS1.11,,,
HS1.12,HS1.12(1),(1) Number of sites serviced,"The number of all sites serviced with basic levels of electricity, water, sanitaiton and refuse removal that do note include the construction of top structures. "
HS1.12,,,
HS1.12,,,
HS1.12,,,
HS1.12,,,
HS1.12,,,
HS1.12,,,
HS1.2,HS1.2(1),(1) Number of serviced residential stands (with or without top structures) completed in the period of assessment,A serviced residential stand completed on the Housing Subsidy System in the financial year. It includes sectional title units where applicable. Includes municipal and provicial housing projects.
HS1.2,HS1.2(2),(2) Number of serviced residential stands (with or without top structures) completed within the metro historically,A serviced residential stand completed on the Housing Subsidy System. It includes sectional title units where applicable. Includes municipal and provicial housing projects.
HS1.2,HS1.2(3),(3) Number of title deeds registered in the deeds office for serviced residential stands (with or without a top structure) within the metro historically,"The provision of a legal deed constituting evidence of a right, to ownership of a property, issued for stands located in a metro. It includes the provision of sectional title deeds where applicable. All title deeds issued in the period covered by the HSS are to be included. Includes titles for serviced sites and subsidised housing provided by the metro and the province and excludes market housing."
HS1.2,,,
HS1.2,,,
HS1.2,,,
HS1.2,,,
HS1.21,HS1.21(1),(1) Sum of the number of days between the completion of a subsidised housing unit on the Housing Subsidy System and the registration date of the title deed ,"The sum of the difference in days between the completion of a subisidised housing unit and the handover date of the title deed on the Housing Subsidy System, for all housing units registered in the deeds register in the municipal financial year. "
HS1.21,HS1.21(2),(2) Number of metro-delivered subsidised stands and housings units registered in the deeds register,The total number of metro delivered stands and housing units registered in the deeds register in the period of assessment.
HS1.21,,,
HS1.21,,,
HS1.21,,,
