Category,Category Code,Tier,Reporting Responsibility,Measurement,Indicator Code,Indicator,Alignment,Indicator Formula,Frequency of Reporting,Definition
Transport and Roads,TR,Tier 2,Metro,Percentage of scheduled bus services reporting to metros,TR4.21,Percentage of  municipally-contracted scheduled bus services 'on time',Improved satisfaction with municipal bus services,(1) Scheduled bus arrivals on time / (2) Total scheduled bus arrivals X 100,Annual,"The percentage of all scheduled municipal bus service arrivals on-time, per year."
Transport and Roads,TR,Tier 3,National,Percentage of households,TR5.1,Percentage of households less than 10 minutes walk from scheduled public transport,Improved access to public transport,"Number of respondents who spend 10 minutes of less reaching either (1) bus, or (2) rail, whichever is less / (3) the number of respondents who use bus or train as a preferred mode of transport X100",Annual,"The percentage of households surveyed who lives less than 10 minutes walk from bus and rail, excl. MBT. "
Transport and Roads,TR,Tier 3,National,Percentage of households,TR5.2,Percentage of persons with disability where access to public transport is problematic,Improved access to public transport and NMT,(1) The number of households where one or more members find access to public transport 'difficult'  or 'very difficult' / (2) households surveyed with one or more members with disability X100,Annual,The percentage of households surveyed where one or more members are limited in daily travel activity due to disability. 
Transport and Roads,TR,Tier 1,Metro,Percentage of buses,TR5.21,Percentage of municipally-contracted bus fleet that are low entry,Improved access to public transport and NMT,(1) Number of buses that have low floor entry / (2) Total number of buses in the municipal fleet X 100,Annual,"The total number of operational municipal buses in the municipally-contracted fleet that have low entry access, as a percentage of the total number of buses in the municipally-contracted fleet. "
Transport and Roads,TR,Tier 3,National,Percentage of fatal crashes,TR6.1,Percentage of fatal crashes attributed to road and environmental factors,Improved road safety,(1) Number of fatal crashes attributed to road and environmental factors / (2) Overall number of fatal crashes  X 100,Annual,The percentage of fatal crashes attributed to road and environmental factors in relation to overall fatal crashes per year within the municipal boundaries.
Transport and Roads,TR,Tier 1,Metro,"Percentage of unsurfaced road network, by length",TR6.11,Percentage of unsurfaced road graded,Improved quality of municipal road network,(1) Kilometers of road graded / (2) Kilometers of unsurfaced road X100,Annual,The length of unsurfaced road which has been graded as a percentage of overall unsurfaced road network
Transport and Roads,TR,Tier 1,Metro,Percentage of surfaced road lanes,TR6.12,Percentage of surfaced municipal road lanes which has been resurfaced and resealed,Improved quality of municipal road network,(1) Kilometers of road lanes resurfaced and resealed / (2) Kilometers of surfaced municipal road lanes X100,Annual,The distance of surfaced municipal road lanes (class 3-5) which has been resurfaced
Transport and Roads,TR,Tier 2,National,Incidence of fatalities,TR7.1,"Road traffic fatalities per 100,000 population",Improved road safety,((1) Number of reported road traffic deaths / (2) Total population of the municipality) * 100 000,Annual,Incidence of reported traffic fatalities per 100 000 population per year
Transport and Roads,TR,Tier 2,National,Average number of fatalities,TR7.2,Average number of fatalities per fatal crash,Improved road safety,(1) Number of road traffic deaths / (2) The number of fatal crashes as reported per year within the municipal boundary,Annual,The number of road traffic deaths divided by the number of fatal crashes per year as reported within the municipal boundaries.
Water and Sanitation,WS,Tier 1,National,Percentage of households,WS1.1,Percentage of households with access to basic sanitation,Improved access to sanitation,(1) Number of households using a flush toilet (connected to sewerage system) + (2) Number of households using a flush toilet (with septic tank) + (3) Number of households using pit toilets with ventilation (VIP) / (4) Total number of households in the municipality x 100.,Annual,"Percentage of households accessing (""using"") a toilet facility that meets minimum standards for basic sanitation out of all households within the municipality. Minimum standards are currently defined as a either a flush toilet (sewerage system) and/or flush toilet (septic tank), and/or a pit toilet connected to ventilation (VIP)."
Water and Sanitation,WS,Tier 1,Metro,Number of sewer connections,WS1.11,Number of new sewer connections meeting minimum standards,Improved access to sanitation,The (1) number of new sewer connections to consumer units + (2) the number of new sewer connections to communal toilet facilities.,Quarterly,The total number of new sewer connections (defined as connections to a flush toilet connected to the sewerage system or a septic tank or a VIP toilet) made as part of state-subsidised human settlements development. This is inclusive of new sewer connections to communal facilities that meet basic sanitation standards. 
Water and Sanitation,WS,Tier 1,National,Percentage of households,WS2.1,Percentage of households with access to basic water supply,Improved access to water,(1) Number of households with the main source of drinking water (1) piped (tap) water inside dwelling/institution + (2) Number of households with the main source of drinking water piped (tap) water inside yard + (3) Number of households with the main source of drinking water piped (tap) water on community stand: distance less than 200m from dwelling/institution / (4) Total number of households in the municipality X 100,Annual,"Percentage of households with access to basic water supply, defined as the household's main source of drinking water is piped (tap) water inside dwelling/house,  piped (tap) water inside yard, and/or piped water to a community stand: <200 m."
Water and Sanitation,WS,Tier 1,Metro,Number of water connections,WS2.11,Number of new water connections meeting minimum standards,Improved access to water,The (1) number of new water connections to piped (tap) water + (2) number of new water connections to public/communal taps,Quarterly,"Total number of new water connections meeting minimum standards (supply of water is Piped (tap) water inside dwelling/institution,  Piped (tap) water inside yard, and/or Community stand: <200 m) as part of state-subsidised human settlements development. This is inclusive of new water connections to communal facilities that meet minimum standards. "
Water and Sanitation,WS,Tier 1,Metro,Number of blockages,WS3.1,Frequency of sewer blockages,Improved quality of water and sanitation services,(1) Number of blockages in sewers that occurred during the assessment period / [(2) Total sewer length at the reference date/100],Annual,"Number of blockages in sewers per 100km of sewer length per year. Blockages are defined as reported or logged blockages that result in an obstruction of system flow which may be caused by roots, obstructive items or other pipeline disruption."
Water and Sanitation,WS,Tier 2,Metro,Percentage of outages,WS3.11,Percentage of complaints/callouts responded to within 24 hours (sanitation/wastewater),Improved quality of water and sanitation services,(1) Number of complaints/callouts (outages logged on the municipal system) responded to within 24 hours (sanitation/wastewater)/ (2) Total wastewater/sanitation complaints/callouts received x 100,Annual,"Percentage complaints/callouts (outages logged with the municipality) responded to within 24 hours (sanitation/wastewater). Responded to means that someone is on site and has initiated a process of resolving the matter within 24 hours. This does not mean the complaint/callout was resolved, only that the matter was logged, appraised and responded to within 24 hours of notification. "
Water and Sanitation,WS,Tier 1,Metro,Number of mains failures,WS3.2,Frequency of mains failures,Improved quality of water and sanitation services,(1) Number of mains failures during the assessment period (including failures of valves and fittings) / [(2)Total mains length in KMs/ 100],Annual,"Number of water mains failures per 100km of mains pipe per year. ""Mains"" refers to all transmission and distribution pipes for water, the ownership of which is vested in the metro for the purpose of conveying water to consumers. "
Water and Sanitation,WS,Tier 2,Metro,Percentage of outages,WS3.21,Percentage of complaints/callouts responded to within 24 hours (water),Improved quality of water and sanitation services,(1) Number of complaints/callouts (outages) responded to within 24 hours (water)/ (2) Total water service complaints/callouts received x 100,Annual,"Percentage complaints/callouts (outages) responded to within 24 hours (water). Responded to means that someone is on site and has initiated a process of resolving the matter within 24 hours. This does not mean the complaint/callout was resolved, only that the matter was logged, appraised and responded to within 24 hours of notification. "
Water and Sanitation,WS,Tier 1,Metro,Number of service interruptions,WS3.3,Frequency of unplanned water service interruptions,Improved quality of water and sanitation services,(1)Number of interruptions during the assessment period / [(2)Total number of water service connections/1000],Annual,Number of interruptions averaged per 1000 service connections per year. Interruptions are understood as occuring at the source and do not include the number of consumer units affected by an interruption. 
Water and Sanitation,WS,Tier 1,Metro,Percentage of tested samples,WS4.1,Percentage of Drinking Water Compliance to SANS 241,Improved quality of water (incl. wastewater),(1) Number of water samples that complied with SANS 241 requirements / (2) Total number of water samples tested x 100,Annual,The percentage of water samples measured that comply with the SANS 241 requirements over a 12 month period. See the SANS 241 requirements for a detailed breakdown of the various tests involved. 
Water and Sanitation,WS,Tier 1,Metro,Percentage of tested samples,WS4.2,Percentage of wastewater samples compliant to water use license conditions,Improved quality of water (incl. wastewater),Sum of the (1) Number of wastewater samples tested per determinant that meet compliance to specified water use license requirements / (2) Total wastewater samples tested for all determinants over the municipal financial year x 100,Annual,Percentage of Wastewater Quality Compliance to specified licence/permit/authorisation requirements tested during the municipal financial year. The percentage is calculated on the basis of aggregated results per Water Use License determinant. 
Water and Sanitation,WS,Tier 3,Metro,Percentage of industrial entities inspected,WS4.21,Percentage of industries with trade effluent inspected for compliance,Improved quality of water (incl. wastewater),(1) Number of industry trade effluent inspections undertaken during the assessment period / (2) Total number of registered industries with trade effluent x 100,Annual,"Number of industries with trade effluent that are inspected during the assessment period as a percentage of the total number of registered industries with trade effluent, at the end of the municipal financial year"
Water and Sanitation,WS,Tier 3,Metro,Percentage of wastewater,WS4.22,Percentage of wastewater safely treated,Improved quality of water (incl. wastewater),100  [(0.8 x (1) Percentage of wastewater household (sewage and faecal sludge) wastewater safely treated (PWHt)) + (0.2 x (2) Percentage of wastewater from hazardous industries safely treated (PWIt)],Annual,"Proportion of wastewater generated both by households (sewage and faecal sludge), as well as economic activities (based on ISIC categories) safely treated compared to total wastewater generated both through households and economic activities."
Water and Sanitation,WS,Tier 1,Metro,Percentage of kilolitres,WS5.1,Percentage of non-revenue water,Improved water sustainability,((1)Number of Kilolitres Water Purchased or Purified - (2)Number of Kilolitres Water Sold) / (1)Number of Kilolitres Water Purchased or Purified 100,Annual,"Non-revenue water is defined as the sum of unbilled authorized consumption, apparent losses (unbilled unauthorised consumption and meter inaccuracies) and real losses (from transmission mains, storage facilities, distribution mains or service connections). "
Water and Sanitation,WS,Tier 1,Metro,Liters per connection per day,WS5.2,Total water losses,Improved water sustainability,Sum total of water losses [((1) System input volume- (2) Authorised consumption volume)  in m x 1000) / (365 x (2) Number of service connections)],Annual,"Total (apparent and real) losses, expressed in terms of annual volume lost per service connection per day."
Water and Sanitation,WS,Tier 1,Shared,Liters per capita per day,WS5.3,Total per capita consumption of water,Improved water sustainability,(1) System input volume   Exported [(2)raw + (3) treated] water in m x 1000) / (365 x (4) Municipal population),Annual,The total system input volume minus the total exported (raw and treated) water per population per day of the assessment period.
Water and Sanitation,WS,Tier 1,Metro,Percentage of water connections,WS5.31,Water connections metered as a percentage of total connections,Improved water sustainability,(1) Number of water connections metered / [(1)Number of connections metered + (2) Number of connections unmetered] x 100,Annual,The number of metered water connections as a percentage of the total number of connections in the metro.
Water and Sanitation,WS,Tier 2,Metro,Percentage of water,WS5.4,Percentage of water reused,Improved water sustainability,(1) Volume of water recycled and reused (VRR) / (2) Volume of total freshwater withdrawal (TWW) x 100,Annual,The total volume of water recycled and reused as a percentage of the total water withdrawal.
Fire and Emergency,FE,Tier 2,Shared,Ratio of deaths to population,FE1.1,Number of fire related deaths per 1000 population,Mitigated effects of emergencies,(1) Number of reported deaths attributed to fire or fire-related causes / (2) Total population of the municipality * 1000,Annual,Incidence of reported deaths attributed to fire or fire-related causes (e.g. smoke inhalation) normalised per population.
Fire and Emergency,FE,Tier 2,Metro,Percentage of incidents,FE1.11,Percentage compliance with the required attendance time for structural firefighting incidents,Mitigated effects of emergencies,(1) Number of structural fire incidents where the attendance time was less than 14 minutes / (2) Total number of calls for structural fire incidents received *100,Quarterly,"Structural fire incidents are defined as incidents of fire outbreaks in habitable formal structures (buildings that have approved building plans) and habitable informal structures (informal residential dwellings where no approved building plans exist). The indicator measures the percentage of times that these incidents receive a response within the 14 minute standard. This measure of the attendance time is the difference between the time of call (the time an official call or notice is received at the offical call or reporting centre) and the arrival time (refers to the time captured for the first arriving firefighting response unit regardless from where dispatched or regardless of order of dispatch). The indicator therefore measures the number of all incidents where the attendance time was 14 minutes or less as a percentage of all incidents.  

 Attendance time is the difference between the time of call and the time of arrival of the first arriving firefighting response unit at the given address of the incident, (i.e.) Attendance Time = Time of arrival at given address s- Time Call Received by ECC

personnel and equipment in minutes and seconds for the year (numerator) divided by the number of fire department responses in the same year (denominator)."
Fire and Emergency,FE,Tier 2,Shared,Ratio of firefighters to population,FE1.12,Number of full-time firefighters per 1000 population,Mitigated effects of emergencies,(1) Total number of full-time firefighters employed by the municipality / (2) Total municipal population * 1000,Annual,The total number of paid full-time firefighters employed by the municipality normalised to the population of the municipality. This excludes reservists or part-time firefighters.
Fire and Emergency,FE,Tier 3,Shared,Ratio of deaths to population,FE1.2,Number of natural disaster related deaths per 1000 population  ,Mitigated effects of emergencies,(1) Number of reported deaths attributed to natural disasters / (2) Total population of the municipality * 1000,Annual,"Incidence of reported deaths attributed to natural disasters, normalised per population. Natural disasters are understood as inclusive of calamities arising from natural events beyond the control or (immediate) influence of the municipal administration. This is inclusive of fires that are not considered specific structural incidents. "
Fire and Emergency,FE,Tier 3,Shared,Ratio of reservists and volunteer responders to population,FE1.21,Number of reservists and volunteer responders per 1000 population,Mitigated effects of emergencies,(1) Total number of reservists and volunteer responders of the municipality / (2) Total municipal population * 1000,Annual,The total number of reservist and volunteer responders (combined) in the service of the municipality at the end of the reporting period normalised to the population. A reservist responder refers to a person trained and on-call in the event of a fire-related emergency whereas a volunteer responder refers to those unpaid individuals formally registered in the service of the municipality.
Governance,GG,Tier 1,Metro,Percentage of R-value,GG1.1,Percentage of municipal skills development levy recovered,Improved municipal capability,(1) R-value of municipal skills development levy recovered/ (2) R-value of the total qualifying value of the municipal skills development levy *100,Annual,The indicator is a measure of the R-value of the municipal skills development levy recovered for the financial year as a percentage of the total municipal skills development allocation which the municipality could have claimed.
Governance,GG,Tier 2,Metro,Percentage of working days,GG1.2,Top management stability,Improved municipal capability,"((1)Total sum of standard working days, in the reporting period, that each  S57 post was occupied by a fully appointed official (not suspended or vacant) with a valid signed contract and performance agreement)/ ((2)Aggregate working days for all S57 posts) *100",Annual,"Top management is defined as Section 56 and 57 Managers, as per the Municipal Systems Act (2000). This refers to the number of working days in which all of the top management positions in the municipality are filled by full-time employees not in an acting position."
Governance,GG,Tier 1,Metro ,Percentage of posts,GG1.21,Staff vacancy rate,Improved municipal capability,((1)The number of employees on the approved organisational structure)-((2) The number of permanent employees in the municipality))/((1)The number of employees on the approved organisational structure)*100,Quarterly,The number of unfilled posts in the municipal organisational structure as a percentage of the total number of posts in the municipality's organisational structure.
Governance,GG,Tier 2,Metro,Percentage of ward committees,GG2.1,"Percentage of ward committees that are functional (meet four times a year, are quorate, and have an action plan)",Improved municipal responsiveness,((1)Functional ward committees)/((2)Total number of wards)*100,Annual,The percentage of ward committees that are deemed to be 'functional' out of all wards in the municipality. Functional is defined as- they have an agreed annual ward committee action plan by end of Q1 of the year under review and had at least four quorate meetings in that year.
Governance,GG,Tier 2,Metro,Percentage of ward committees,GG2.11,Percentage of ward committees with 6 or more ward committee members (excluding the ward councillor),Improved municipal responsiveness,((1)The number of ward committees with 6 or more members)/((2)Total number of wards)*100,Quarterly,"The percentage of ward committees that had 6 or more members, excluding the ward councillor, as a proportion of the total number of wards at the last day of the reporting period."
Governance,GG,Tier 2,Metro,Meetings,GG2.12,Average number of councillor-convened community meetings per ward,Improved municipal responsiveness,(1) Total number of councillor convened ward community meetings/(2) Number of wards in the municipality * 100,Quarterly,"The number of community meetings that ward councillors convened per ward in the municipality. Community meetings refer to any public meeting for which public notice is given, held in the councillor's ward, and at which the ward councillor convenes the meeting."
Governance,GG,Tier 2,Metro,Percentage attendance rate,GG2.2,Attendance rate of municipal council meetings by all identified Traditional Leaders,Improved municipal responsiveness,(1) Sum of the total number of Traditional Leaders in attendance at Council meetings/ ((2) The total number of Traditional Leaders within the municipality * (3) Total number of Council meetings) *100,Annual,The number of officially identified and municipally acknowledged Traditional Leaders resident with the municipal area in attendance at Council meetings. Identified traditional leaders refers to those leaders within identified traditional structures in terms of the Municipal Structures Act. 
Governance,GG,Tier 1,National,Qualitative audit result,GG3.1,Audit Opinion ,More effective city administration,(1) Audit opinion as defined by the Office of the Auditor-General across a qualitative scale,Annual,"The Audit Opinion is defined by the Auditor-General. It is given across a qualitative, ordinal scale including: Unqualified with no findings; Unqualified with findings; Qualified with findings; Adverse with findings;and  Disclaimed with findings. For those who have not completed the process 'Outstanding audits' are recorded. "
Governance,GG,Tier 1,National,Number of audit findings,GG3.11,Number of repeat audit findings,More effective city administration,"(1) Simple count of the number of ""repeat"" findings itemised by the in the Auditor-General's report of each municipality.",Annual,"Repeat findings refer to those findings which have persisted from one year of reporting to the next. These are identified as repeat findings by the Auditor-General on the following administrative areas including but not limited to:
i) annual financial statements and annual report
ii) Strategic planning and performance 
iii) Consequence management
iv) Human Resource management"
Governance,GG,Tier 1,Metro,Percentage of councillors,GG3.12,Percentage of councillors who have declared their financial interests,More effective city administration,(1) Number of councillors that have declared their financial interests/ (2) Total number of municipal councillors *100,Annual,The percentage of all councillors that have declared their financial interests for the financial year being reported against.
Governance,GG,Tier 3,Metro,Percentage of administrative staff,GG3.13,Percentage of administrative staff who have declared their financial interests,More effective city administration,(1) Number of administrative staff that have declared their financial interests/ (2) Total number of municipal administrative staff *100,Annual,The percentage of administrative staff that have declared their financial interests for the financial year being reported against.
Governance,GG,Tier 1,Metro ,Percentage of councillors,GG4.1,Average percentage of councillors attending council meetings,Improved council functionality,((1)The sum total of all councillor attendance of all council meetings) / ((2)The total number of council meetings * (3)The total number of council members in the municipality)*100,Annual,The average percentage of members of the municipal council that attended council meetings. 
Governance,GG,Tier 1,Metro ,Number of council decisions,GG4.11,Number of agenda items deferred to the next council meeting,Improved council functionality,(1) Sum total number of all council agenda items deferred to the next meeting,Quarterly,"The number of agenda items that have been deferred to the next council meeting because the council has failed to reach a quorum or withheld decisions on those items. Where multiple council meetings have been held, this is the sum total of those items deferred. This does not refer to agenda items referred to other structures, only items for which no decision or action is taken. "
Governance,GG,Tier 4,Metro,Functionality of structures,GG4.2,Functionality of prescribed municipal structures (as defined in the Municipal Structures Act 117 of 1998),Improved council functionality,(1) Number of MPAC members in attendance for all MPAC meetings where recommendations were subsequently tabled at Council/ (2) Sum total of all possible attendance of MPAC meetings * 100,Annual,DEFINITION TO BE REVISITED.
Governance,GG,Tier 2,Shared,Number of alleged cases,GG5.1,Number of alleged fraud and corruption cases reported per 100 000 population,Zero tolerance of fraud and corruption,[(1) Number of alleged fraud and corruption cases reported to the metro / (2)Population of the metro]*100 000,Annual,"The number of alleged incidents of fraud and corruption reported to the municipality during the period under review, normalised per 100 000 of the population. Corruption is defined broadly in the Prevention and Combating of Corrupt Activities Act 12 of 2004 in Chapter 2(s3) and any criminal offence that may fall within the ambit of this definition is included for the purposes of this indicator. "
Governance,GG,Tier 2,Metro,Number of suspensions,GG5.11,Number of active suspensions longer than three months,Zero tolerance of fraud and corruption,(1) Simple count of the number of active suspensions in the municipality lasting more than three months,Quarterly,Refers to the total number of active suspensions at the time of reporting that were initiated more than three months prior and had not yet been resolved. 
Governance,GG,Tier 2,Metro,R-value salaries,GG5.12,Quarterly salary bill of suspended officials,Zero tolerance of fraud and corruption,(1) Sum of the salary bill for all suspended officials for the reporting period.,Quarterly,The sum of the salary bill for all officials suspended from work or employment for the municipality for misconduct during the reporting period.
Governance,GG,Tier 2,Shared,Number of dismissals,GG5.2,Number of alleged fraud and corruption cases reported per 100 000 population,Zero tolerance of fraud and corruption,[(1) Number of dismissals for fraud and corruption / (2)Population of the metro]*100 000,Annual,"The number of dimissals for fraud and corruption reported to the municipality during the period under review, normalised per 100 000 of the population. Corruption is defined broadly in the Prevention and Combating of Corrupt Activities Act 12 of 2004 in Chapter 2(s3) and any criminal offence that may fall within the ambit of this definition is included for the purposes of this indicator. "
Governance,GG,Tier 3,Shared,Number of convictions,GG5.3,Number of convictions for bribery and/or corruption per 100 000 population,Zero tolerance of fraud and corruption,[(1) Number of convictions for bribery and/or corruption / (2)Population of the metro]*100 000,Annual,"The number of convictions for bribery and/or corruption arising from incidents reported to the municipality, normalised per 100 000 of the population. Corruption is defined broadly in the Prevention and Combating of Corrupt Activities Act 12 of 2004 in Chapter 2(s3) and any criminal offence that may fall within the ambit of this definition is included for the purposes of this indicator. "
Governance,GG,Tier 3,Shared,Percentage of households,GG6.1,Percentage of all qualifying households in the municipal area classified as indigent,More effective poverty alleviation,(1) Number of households classified as indigent / (2) Total number of households in the municipal area,Annual,The number of households officially registered on the municipalities indigent register as a percentage of all households within the municipal area.
Governance,GG,Tier 1,Metro,Percentage expenditure,GG6.11,Percentage expenditure of the municipality's operating budget on free basic services to indigent households,More effective poverty alleviation,(1) R-value of operating budget expenditure on free basic services / (2) R-value of the total operating budget *100,Quarterly,The amount municipal operating budget expended on free basic services to indigent households (R-value) as a percentage of the total operating budget of the municipality for the period.
Governance,GG,Tier 1,Metro,Number of work opportunities,GG6.12,"Number of work opportunities through EPWP, CWP and other related infrastructure programmes",More effective poverty alleviation,(1) Simple count of the number of work opportunities provided by the municipality for the period under review,Quarterly,"Simple count of the number of individuals receiving short-term work opportunities through the municipality for Expanded Public Works Programme, Community Works Programme and other related infrastructure initiatives."
Unknown,WG,Tier 1,Metro, Percentage Rand value ,WG13.,Percentage change in the value of properties in Integration Zones,Targeted investments in integration zones, ((1) Value of privately owned buildings in integration zones on year 3) - (2) Value of privately owned buildings in integration zones in year 1) / (2) Value of privately owned buildings in integration zones on year 1 *100 , Every three years ,Buildings are valued according to a municipality's own valuation practices.
Unknown,CC,Tier 1,Metro, Percentage of applications ,CC2.,Number of land use applications processed in integration zones as a percentage of the total number of land use applications submitted city-wide.,Targeted investments in integration zones, (1) Number of land use applications processed in integration zones / (2) Total number of land use applications processed citywide *100 , Annual ,This indicator measures the number of land use applications processed in integration zones as a proportion of those processed city-wide. It does not matter whether the applications were successful or not. 
Unknown,CC,Tier 1,Metro, Percentage of applications ,CC3,Number of building plan applications processed in integration zones as a percentage of the total number of building plan applications city-wide,Targeted investments in integration zones, (1) Number of building plan applications processed in integration zones / (2)Total number of building plan applications processed citywide *100 , Annual ,This indicator measures the number of building plan applications processed in integration zones as a proportion of those processed city-wide. It does not matter whether the applications were successful or not. 
Unknown,PC,Tier 1,Metro, Percentage of rateable value ,PC4.,Commercial and industrial rateable value within integration zone for a single metro as a % of overall commercial and industrial rateable value for that same metro. ,Targeted investments in integration zones,((1)Commercial rateable value of land in integration zone in metro) + (2) Industrial rateable value of land in integration zone in metro)) / ((3)Commercial rateable value of land in metro) + (4) Industrial rateable value of land in metro)) *100, Annual ,The Valuation Rolls of the cities will contain the rateable values of land by land use types. The land uses will be defined and specified by the different cities.
Unknown,CC,Tier 1,Metro, Percentage of hectares ,CC1.,Hectares approved for future development outside the 2015 urban edge as a percentage of Hectares allocated for future development as defined by the 2015 SDF,Reduction in urban sprawl, (1) Hectares approved for future development outside the 2015 urban edge / (2) Total hectares allocated for future development as defined by the 2015 SDF *100 , Annual ,"The urban edge is defined in the Spatial Development Framework. Development applications outside of this are counted towards this indicator. For developments which cross the urban edge, use on the area which is outside the urban edge for calculating this indicator. "
Unknown,IC,Tier 1,Metro, Percentage of subsidised units ,IC1.,New subsidised units developed in Brownfields developments as a percentage of all new subsidised units city-wide,New housing options and social diversity,(1) Number of new subsidised housing units in brownfields development / (2) Total number of newly provided subsidised housing units city-wide *100, Annual ,"The provision of subsidised housing units is the responsibility of the city and the Department of Human Settlements. A housing unit is a dwelling unit and can consist of more than one household. Subsidised housing units are, at least in part, subsidised by the State. Brownfields developments occur on land which was previously used for residential, commercial or industrial purposes. In this case it can also include land parcels associated with urban infill (e.g. buffer zones and land zoned for uses for which there is no longer a need)."
Unknown,IC,Tier 1,Metro, Ratio of households per hectare ,IC2.,Gross residential unit density per hectare within integration zones,New housing options and social diversity,(1) Number of households in integration zones : (2) Area of integration zones (hectares), Every three years ,Residential unit density is the number of households over a certain area. In this case the area is an integration zone. 
Unknown,IC,Tier 1,Metro, Ratio of housing types ,IC3.,Ratio of housing types in integration zones,New housing options and social diversity,"(1) Number of subsidised units in integration zones (including Social Housing, CRU, BNG : (2) Number of FLISP/Gap units: (3) Total market units located in integration zones", Annual ,"Housing typologies are based on those used in the Housing Code (eg BNG, CRU, Social Housing, FLISP/GAP housing etc), as well as those in the private market. "
Unknown,IC,Tier 1,Metro, Ratio of tenure status ,IC4.,Ratio of housing tenure status in integration zones,New housing options and social diversity,(1) Number of fully owned households in integration zones : (2) Number of partially owned households in integration zones : (3) Number of rented households in integration zones : (4) Number of households with other tenure arrangements in integration zones, Annual ,Housing tenure statuses are based on those used in the General Household surveys. The indicator should be presented as Fully owned:Partially owned:Rented:Other
Unknown,IC,Tier 1,Metro, Ratio of land use types ,IC5.,"Ratio of land use types (residential, commercial, retail, industrial) in integration zones",New housing options and social diversity,(1) Number of households : (2) GLA of commercial space : (3) GLA of retail space : (4) GLA of industrial space, Every three years ,Land use types are defined in the cities' zoning schemes. 
Unknown,IC,Tier 1,Metro,% households,IC6.,Percentageof  households accessing subsidy units in integration zones that come from informal settlements,New housing options and social diversity,(1) Number of households from informal settlements accessing subsidy units in integration zones / (2) Number of subsidy units provided in integration zones *100, Annual ,"Informal dwellings are defined as a wood and/or iron structure, which does not meet basic building standards. The upgrading of informal dwellings is through Upgrading of Informal Settlements Programme( UISP)  by  provinces/municipalities own efforts. "
Unknown,IC,Tier 1,Metro, Percentage of dwellings ,IC7.,Number of all dwelling units within Integration Zones that are within 800 metres of access points to the integrated public transport system as a percentage of all dwelling units within Integration Zones,Affordable and efficient public transport services,(1) Number of all dwelling units within Integration Zones that are within 800 metres of access points to the integrated public transport system / (2) Number of dwelling units within Integration Zones *100, Every three years ,"This indicator measures the number of dwelling units in integration zones within a 800m radius of an access point to an integrated public transport network, as a percentage of all dwellings in integration zones.A dwelling unit is the unit of measurement for proximity to public transport nodes. 800m does not take route length into account. "
Unknown,IC,Tier 1,National, Ratio of percentage household expenditure on transport per quintile ,IC8.,Percentage share of household income spent on transport costs for different household income quintiles city-wide,Affordable and efficient public transport services,(1) (Household income spent on transport in quintile 1) / (2) (Household income in quintile 1) : (Household income spent on transport in quintile 2) / (Household income in quintile 2) : (Household income spent on transport in quintile 3) / (Household income in quintile 3) : (Household income spent on transport in quintile 4) / (Household income in quintile 4) : (Household income spent on transport in quintile 5) / (Household income in quintile 5), Annual ,A quintile consists of 20% of the households that are being investigated. Expenditure on transport includes all modes and types of costs associated with transport. 
Unknown,IC,Tier 1,National, Percentage of expenditure ,IC9.,Capital expenditure on integrated public transport networks as a percentage of the municipal capital expenditure,Affordable and efficient public transport services,(1)Capital expenditure on integrated public transport networks / (2) Total actual capital expenditure *100, Annual ,This indicator measures the extent to which capital expenditure of the municipality is focussed into the integrated public transport network
Unknown,ICa,Tier 1,National,Percentage of learners,IC11a.,Percentage of learners travelling longer than 30 minutes to an education institution,Affordable and efficient public transport services,(1) Number of learners travelling  longer than 30 minutes to an educational institution / (2) Total number of learners travelling to an educational institution *100, Annual ,"The number of learners surveyed who indicate that the average duration of the time it takes to travel from their home to their educational institution is longer than 30 minutes, as a percentage of all learners travelling to an educational institution."
Unknown,ICb,Tier 1,National,Percentage of workers,IC11b.,Percentage of workers travelling for longer than 30 minutes to their place of work,Affordable and efficient public transport services,(1) Number of workers travelling  longer than 30 minutes to a place of work / (2) Total number of workers travelling to a place of work *100, Annual ,"The number of workers surveyed who indicate that the average duration of the time it takes to travel from their home to their place of work is longer than 30 minutes, as a percentage of all workers travelling to a place of work."
